"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"GEO",2016,2,"rolling",0.696,0.304,0.06125
"GRC",2016,2,"rolling",0.733,0.267,0.3
"HRV",2016,2,"rolling",0.821,0.179,0.1
"HUN",2016,2,"rolling",0.714,0.286,0.438333333333333
"IRL",2016,2,"rolling",0.808,0.192,0.32
"ISR",2016,2,"rolling",0.846,0.154,0.75
"ITA",2016,2,"rolling",0.318,0.682,0.708333333333333
"KGZ",2016,2,"rolling",0.32,0.68,1.90606060606061
"LTU",2016,2,"rolling",0.865,0.135,0.752222222222222
"LUX",2016,2,"rolling",0.607,0.393,0.812549019607843
"LVA",2016,2,"rolling",0.786,0.214,0.616666666666667
"MAR",2016,2,"rolling",0.787,0.213,0.156495726495726
"MDA",2016,2,"rolling",1,0,0
"MLT",2016,2,"rolling",0.778,0.222,0.309090909090909
"NLD",2016,2,"rolling",0.462,0.538,1.00662878787879
"NOR",2016,2,"rolling",0.429,0.571,0.814285714285714
"POL",2016,2,"rolling",0.587,0.413,0.590959595959596
"PRT",2016,2,"rolling",0.75,0.25,0.975
"ROU",2016,2,"rolling",0.865,0.135,0.104347826086957
"SRB",2016,2,"rolling",0.562,0.438,0.954285714285714
"SVN",2016,2,"rolling",0.846,0.154,0.354347826086957
"SVK",2016,2,"rolling",0.78,0.22,0.246240601503759
"TUR",2016,2,"rolling",0.2,0.8,0.385714285714286
"USA",2016,2,"rolling",0.596,0.404,0.843173076923077
"ARM",2017,2,"rolling",0.731,0.269,0.660683760683761
"AUT",2017,2,"rolling",0.364,0.636,1.225
"BEL",2017,2,"rolling",0.8,0.2,0.664285714285714
"CHE",2017,2,"rolling",0.808,0.192,0.704761904761905
"CZE",2017,2,"rolling",0.827,0.173,1.00714285714286
"DNK",2017,2,"rolling",0.75,0.25,0.221929824561404
"EST",2017,2,"rolling",0.519,0.481,0.683893557422969
"ESP",2017,2,"rolling",0.679,0.321,0.597222222222222
"GEO",2017,2,"rolling",0.717,0.283,0.0288888888888889
"GRC",2017,2,"rolling",0.635,0.365,1.29166666666667
"HRV",2017,2,"rolling",0.692,0.308,2.38333333333333
"HUN",2017,2,"rolling",0.643,0.357,2.30526315789474
"IRL",2017,2,"rolling",0.827,0.173,0.328888888888889
"ISR",2017,2,"rolling",0.827,0.173,0.729523809523809
"ITA",2017,2,"rolling",0.522,0.478,0.806666666666667
"KGZ",2017,2,"rolling",0.333,0.667,0.18
"LTU",2017,2,"rolling",0.886,0.114,0.9
"LUX",2017,2,"rolling",0.786,0.214,0.685714285714286
"LVA",2017,2,"rolling",0.679,0.321,0.98921568627451
"MAR",2017,2,"rolling",0.731,0.269,0.250098039215686
"MDA",2017,2,"rolling",1,0,0
"MLT",2017,2,"rolling",0.714,0.286,0.585714285714286
"NLD",2017,2,"rolling",0.519,0.481,0.778205128205128
"NOR",2017,2,"rolling",0.464,0.536,1.57857142857143
"POL",2017,2,"rolling",0.5,0.5,1.83469696969697
"PRT",2017,2,"rolling",0.904,0.096,0.17536231884058
"ROU",2017,2,"rolling",1,0,0
"SRB",2017,2,"rolling",0.364,0.636,1.47
"SVN",2017,2,"rolling",0.846,0.154,1.43787878787879
"SVK",2017,2,"rolling",0.673,0.327,1.59444444444444
"TUR",2017,2,"rolling",0.49,0.51,1.54671717171717
"USA",2017,2,"rolling",0.558,0.442,1.08452380952381
"ARM",2015,3,"rolling",0.829,0.171,0.0886554621848739
"AUT",2015,3,"rolling",0.188,0.812,1.13571428571429
"BEL",2015,3,"rolling",0.811,0.189,2.16666666666667
"CHE",2015,3,"rolling",0.811,0.189,1.53577235772358
"CZE",2015,3,"rolling",0.792,0.208,1.45
"DNK",2015,3,"rolling",0.633,0.367,0.23719298245614
"EST",2015,3,"rolling",0.491,0.509,1.21782051282051
"ESP",2015,3,"rolling",0.621,0.379,1.82222222222222
"GEO",2015,3,"rolling",0.736,0.264,0.249404761904762
"GRC",2015,3,"rolling",0.441,0.559,2.42435897435897
"HRV",2015,3,"rolling",0.63,0.37,3.15
"HUN",2015,3,"rolling",0.792,0.208,0.8
