"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"SVK","2017","2","hist",0.558,0.442,1.57962962962963
"TUR","2017","2","hist",0.392,0.608,3.12121212121212
"USA","2017","2","hist",0.404,0.596,2.45535714285714
"ARM","2015","3","hist",0.829,0.171,0.1
"AUT","2015","3","hist",0.25,0.75,1.40714285714286
"BEL","2015","3","hist",0.792,0.208,3.06899224806202
"CHE","2015","3","hist",0.755,0.245,2.07154471544715
"CZE","2015","3","hist",0.717,0.283,3.30975609756098
"DNK","2015","3","hist",0.7,0.3,0.183859649122807
"EST","2015","3","hist",0.396,0.604,1.52551282051282
"ESP","2015","3","hist",0.655,0.345,2.41666666666667
"GEO","2015","3","hist",0.509,0.491,0.296428571428571
"GRC","2015","3","hist",0.382,0.618,3.3
"HRV","2015","3","hist",0.63,0.37,3.63333333333333
"HUN","2015","3","hist",0.667,0.333,1.20588235294118
"IRL","2015","3","hist",0.849,0.151,0.521428571428571
"ISR","2015","3","hist",0.755,0.245,0.580128205128205
"ITA","2015","3","hist",0.417,0.583,1.41
"KGZ","2015","3","hist",0.594,0.406,0.58
"LTU","2015","3","hist",0.906,0.094,0.28
"LUX","2015","3","hist",0.655,0.345,1.83333333333333
"LVA","2015","3","hist",0.69,0.31,2.7
"MAR","2015","3","hist",0.769,0.231,0.238571428571429
"MDA","2015","3","hist",0.943,0.0570000000000001,0.1
"MLT","2015","3","hist",0.913,0.087,0.804545454545454
"NLD","2015","3","hist",0.396,0.604,3.52424242424242
"NOR","2015","3","hist",0.103,0.897,3.6
"POL","2015","3","hist",0.17,0.83,1.10051282051282
"PRT","2015","3","hist",0.792,0.208,3.10232558139535
"ROU","2015","3","hist",0.854,0.146,0.6
"SRB","2015","3","hist",0.435,0.565,0.411904761904762
"SVN","2015","3","hist",0.774,0.226,1.48
"SVK","2015","3","hist",0.654,0.346,1.87955555555556
"TUR","2015","3","hist",0.4,0.6,0.683630952380952
"USA","2015","3","hist",0.604,0.396,1.8116339869281
"ARM","2016","3","hist",0.692,0.308,2.6027027027027
"AUT","2016","3","hist",0.294,0.706,1.50666666666667
"BEL","2016","3","hist",0.769,0.231,1.32142857142857
"CHE","2016","3","hist",0.654,0.346,0.730555555555556
"CZE","2016","3","hist",0.673,0.327,0.760526315789474
"DNK","2016","3","hist",0.536,0.464,0.775980392156863
"EST","2016","3","hist",0.327,0.673,2.44078947368421
"ESP","2016","3","hist",0.5,0.5,0.805
"GEO","2016","3","hist",0.565,0.435,0.08125
"GRC","2016","3","hist",0.133,0.867,0.7
"HRV","2016","3","hist",0.536,0.464,0.326315789473684
"HUN","2016","3","hist",0.607,0.393,0.936666666666667
"IRL","2016","3","hist",0.712,0.288,0.557894736842105
"ISR","2016","3","hist",0.692,0.308,1.94487179487179
"ITA","2016","3","hist",0.182,0.818,1.04166666666667
"KGZ","2016","3","hist",0.24,0.76,2.60181818181818
"LTU","2016","3","hist",0.865,0.135,1
"LUX","2016","3","hist",0.714,0.286,0.703333333333333
"LVA","2016","3","hist",0.714,0.286,0.6
"MAR","2016","3","hist",0.66,0.34,0.294017094017094
"MDA","2016","3","hist",1,0,0
"MLT","2016","3","hist",0.778,0.222,0.304545454545455
"NLD","2016","3","hist",0.346,0.654,2.36988636363636
"NOR","2016","3","hist",0.107,0.893,2.1
"POL","2016","3","hist",0.174,0.826,1.55853535353535
"PRT","2016","3","hist",0.673,0.327,1.65277777777778
"ROU","2016","3","hist",0.885,0.115,0.1
"SRB","2016","3","hist",0.375,0.625,0.985714285714286
"SVN","2016","3","hist",0.75,0.25,0.628260869565217
"SVK","2016","3","hist",0.683,0.317,0.315037593984962
"TUR","2016","3","hist",0.4,0.6,0.671428571428571
"USA","2016","3","hist",0.442,0.558,0.888076923076923
"ARM","2017","3","hist",0.75,0.25,0.666666666666667
"AUT","2017","3","hist",0.182,0.818,2.375
"BEL","2017","3","hist",0.6,0.4,1.55714285714286
"CHE","2017","3","hist",0.673,0.327,1.94047619047619
"CZE","2017","3","hist",0.712,0.288,3.06666666666667
"DNK","2017","3","hist",0.536,0.464,0.236842105263158
"EST","2017","3","hist",0.269,0.731,1.5236974789916
"ESP","2017","3","hist",0.429,0.571,1.825
"GEO","2017","3","hist",0.5,0.5,0.0511111111111111
"GRC","2017","3","hist",0.404,0.596,2.76166666666667
"HRV","2017","3","hist",0.5,0.5,2.33888888888889
"HUN","2017","3","hist",0.536,0.464,3.29736842105263
"IRL","2017","3","hist",0.769,0.231,0.813333333333333
"ISR","2017","3","hist",0.731,0.269,0.95047619047619
"ITA","2017","3","hist",0.087,0.913,2.3525
"KGZ","2017","3","hist",0.667,0.333,0.08
"LTU","2017","3","hist",0.886,0.114,0.9
"LUX","2017","3","hist",0.607,0.393,0.633333333333333
"LVA","2017","3","hist",0.536,0.464,1.71176470588235
"MAR","2017","3","hist",0.5,0.5,0.571307189542484
"MDA","2017","3","hist",1,0,0
"MLT","2017","3","hist",0.607,0.393,0.610526315789474
"NLD","2017","3","hist",0.346,0.654,1.725
"NOR","2017","3","hist",0.286,0.714,3.65476190476191
"POL","2017","3","hist",0.346,0.654,2.90874458874459
"PRT","2017","3","hist",0.788,0.212,0.771739130434783
"ROU","2017","3","hist",1,0,0
"SRB","2017","3","hist",0.318,0.682,2.06857142857143
"SVN","2017","3","hist",0.712,0.288,3.12727272727273
"SVK","2017","3","hist",0.519,0.481,1.74259259259259
"TUR","2017","3","hist",0.412,0.588,3.19489898989899
"USA","2017","3","hist",0.365,0.635,2.57619047619048
"ARM","2015","4","hist",0.829,0.171,0.1
"AUT","2015","4","hist",0.188,0.812,1.80714285714286
"BEL","2015","4","hist",0.774,0.226,3.01162790697674
"CHE","2015","4","hist",0.736,0.264,2.34065040650407
"CZE","2015","4","hist",0.755,0.245,3.33231707317073
"DNK","2015","4","hist",0.633,0.367,0.205789473684211
"EST","2015","4","hist",0.358,0.642,1.57717948717949
"ESP","2015","4","hist",0.586,0.414,2.95555555555556
"GEO","2015","4","hist",0.491,0.509,0.300595238095238
"GRC","2015","4","hist",0.382,0.618,3.3
"HRV","2015","4","hist",0.556,0.444,3.67333333333333
"HUN","2015","4","hist",0.667,0.333,1.26764705882353
"IRL","2015","4","hist",0.83,0.17,0.57375415282392
"ISR","2015","4","hist",0.717,0.283,0.805128205128205
"ITA","2015","4","hist",0.375,0.625,1.63666666666667
"KGZ","2015","4","hist",0.625,0.375,0.54
"LTU","2015","4","hist",0.906,0.094,0.28
"LUX","2015","4","hist",0.69,0.31,1.83333333333333
"LVA","2015","4","hist",0.69,0.31,2.7
"MAR","2015","4","hist",0.712,0.288,0.293571428571429
"MDA","2015","4","hist",0.943,0.0570000000000001,0.1
"MLT","2015","4","hist",0.913,0.087,0.804545454545454
"NLD","2015","4","hist",0.377,0.623,3.59681818181818
"NOR","2015","4","hist",0.103,0.897,3.6
"POL","2015","4","hist",0.191,0.809,1.15179487179487
"PRT","2015","4","hist",0.792,0.208,3.17364341085271
"ROU","2015","4","hist",0.854,0.146,0.6
"SRB","2015","4","hist",0.391,0.609,0.421904761904762
"SVN","2015","4","hist",0.755,0.245,1.49
"SVK","2015","4","hist",0.635,0.365,1.98911111111111
"TUR","2015","4","hist",0.425,0.575,0.695833333333333
"USA","2015","4","hist",0.566,0.434,1.86830065359477
"ARM","2016","4","hist",0.692,0.308,2.6027027027027
"AUT","2016","4","hist",0.353,0.647,1.47333333333333
"BEL","2016","4","hist",0.75,0.25,1.4452380952381
"CHE","2016","4","hist",0.654,0.346,0.788888888888889
"CZE","2016","4","hist",0.654,0.346,0.765789473684211
"DNK","2016","4","hist",0.5,0.5,0.815196078431373
"EST","2016","4","hist",0.25,0.75,2.89795321637427
"ESP","2016","4","hist",0.5,0.5,0.84
"GEO","2016","4","hist",0.565,0.435,0.0841666666666667
"GRC","2016","4","hist",0.133,0.867,0.7
"HRV","2016","4","hist",0.536,0.464,0.326315789473684
"HUN","2016","4","hist",0.607,0.393,0.93
"IRL","2016","4","hist",0.673,0.327,0.585526315789474
"ISR","2016","4","hist",0.654,0.346,1.9775641025641
"ITA","2016","4","hist",0.091,0.909,1.22166666666667
"KGZ","2016","4","hist",0.12,0.88,2.75090909090909
"LTU","2016","4","hist",0.865,0.135,1
"LUX","2016","4","hist",0.643,0.357,0.69921568627451
"LVA","2016","4","hist",0.714,0.286,0.6
"MAR","2016","4","hist",0.66,0.34,0.300683760683761
"MDA","2016","4","hist",1,0,0
"MLT","2016","4","hist",0.778,0.222,0.304545454545455
"NLD","2016","4","hist",0.365,0.635,2.15246212121212
"NOR","2016","4","hist",0.107,0.893,2.1
"POL","2016","4","hist",0.152,0.848,1.60949494949495
"PRT","2016","4","hist",0.673,0.327,1.63055555555556
"ROU","2016","4","hist",0.885,0.115,0.1
"SRB","2016","4","hist",0.375,0.625,1.00571428571429
"SVN","2016","4","hist",0.75,0.25,0.628260869565217
"SVK","2016","4","hist",0.585,0.415,0.346992481203008
"TUR","2016","4","hist",0.2,0.8,0.921428571428571
"USA","2016","4","hist",0.365,0.635,0.768269230769231
"ARM","2017","4","hist",0.769,0.231,0.688888888888889
"AUT","2017","4","hist",0.136,0.864,2.4875
"BEL","2017","4","hist",0.6,0.4,1.55714285714286
"CHE","2017","4","hist",0.654,0.346,2.04285714285714
"CZE","2017","4","hist",0.712,0.288,3.06666666666667
"DNK","2017","4","hist",0.5,0.5,0.275438596491228
"EST","2017","4","hist",0.308,0.692,1.69543417366947
"ESP","2017","4","hist",0.357,0.643,1.81666666666667
"GEO","2017","4","hist",0.543,0.457,0.0466666666666667
"GRC","2017","4","hist",0.404,0.596,2.75
"HRV","2017","4","hist",0.5,0.5,2.33888888888889
"HUN","2017","4","hist",0.464,0.536,3.40263157894737
"IRL","2017","4","hist",0.769,0.231,0.813333333333333
"ISR","2017","4","hist",0.731,0.269,0.985238095238095
"ITA","2017","4","hist",0.043,0.957,2.47
"KGZ","2017","4","hist",0.75,0.25,0.06
"LTU","2017","4","hist",0.886,0.114,0.9
"LUX","2017","4","hist",0.607,0.393,0.633333333333333
"LVA","2017","4","hist",0.536,0.464,1.71176470588235
"MAR","2017","4","hist",0.442,0.558,0.78718954248366
"MDA","2017","4","hist",1,0,0
"MLT","2017","4","hist",0.607,0.393,0.610526315789474
"NLD","2017","4","hist",0.269,0.731,2.28653846153846
"NOR","2017","4","hist",0.25,0.75,3.63571428571429
"POL","2017","4","hist",0.442,0.558,3.18850649350649
"PRT","2017","4","hist",0.769,0.231,0.728260869565217
"ROU","2017","4","hist",1,0,0
"SRB","2017","4","hist",0.364,0.636,2.04
"SVN","2017","4","hist",0.712,0.288,3.12727272727273
"SVK","2017","4","hist",0.462,0.538,1.90555555555556
"TUR","2017","4","hist",0.373,0.627,3.33954545454545
"USA","2017","4","hist",0.308,0.692,2.75297619047619
"ARM","2015","1","null",0.756,0.244,0.0861344537815126
"AUT","2015","1","null",0.562,0.438,0.564285714285714
"BEL","2015","1","null",0.83,0.17,1.16899224806202
"CHE","2015","1","null",0.774,0.226,0.819105691056911
"CZE","2015","1","null",0.792,0.208,1.20243902439024
"DNK","2015","1","null",0.8,0.2,0.0805263157894737
"EST","2015","1","null",0.509,0.491,0.588962703962704
"ESP","2015","1","null",0.621,0.379,1.37222222222222
"GEO","2015","1","null",0.792,0.208,0.138690476190476
"GRC","2015","1","null",0.618,0.382,0.941025641025641
"HRV","2015","1","null",0.63,0.37,1.20666666666667
"HUN","2015","1","null",0.792,0.208,0.58921568627451
"IRL","2015","1","null",0.906,0.094,0.280897009966777
"ISR","2015","1","null",0.811,0.189,0.302564102564103
"ITA","2015","1","null",0.5,0.5,0.52
"KGZ","2015","1","null",0.625,0.375,0.477744360902256
"LTU","2015","1","null",0.925,0.075,0.142127659574468
"LUX","2015","1","null",0.655,0.345,0.905555555555556
"LVA","2015","1","null",0.724,0.276,1.555
"MAR","2015","1","null",0.885,0.115,0.0635714285714286
"MDA","2015","1","null",0.962,0.038,0.0353333333333333
"MLT","2015","1","null",0.913,0.087,0.836363636363636
"NLD","2015","1","null",0.528,0.472,1.00454545454545
"NOR","2015","1","null",0.517,0.483,0.889102564102564
"POL","2015","1","null",0.638,0.362,0.276602564102564
"PRT","2015","1","null",0.811,0.189,1.48565891472868
"ROU","2015","1","null",0.896,0.104,0.202439024390244
"SRB","2015","1","null",0.696,0.304,0.12952380952381
"SVN","2015","1","null",0.774,0.226,0.6025
"SVK","2015","1","null",0.712,0.288,1.87022222222222
"TUR","2015","1","null",0.625,0.375,0.304464285714286
"USA","2015","1","null",0.755,0.245,0.365098039215686
"ARM","2016","1","null",0.558,0.442,2.42972972972973
"AUT","2016","1","null",0.529,0.471,0.683333333333333
"BEL","2016","1","null",0.827,0.173,0.469047619047619
"CHE","2016","1","null",0.808,0.192,0.227777777777778
"CZE","2016","1","null",0.865,0.135,0.128822055137845
"DNK","2016","1","null",0.679,0.321,0.355882352941176
"EST","2016","1","null",0.596,0.404,1.12076023391813
"ESP","2016","1","null",0.536,0.464,0.443333333333333
"GEO","2016","1","null",0.783,0.217,0.0479166666666667
"GRC","2016","1","null",0.667,0.333,0.288888888888889
"HRV","2016","1","null",0.821,0.179,0.0885964912280702
"HUN","2016","1","null",0.714,0.286,0.371666666666667
"IRL","2016","1","null",0.865,0.135,0.152631578947368
"ISR","2016","1","null",0.827,0.173,0.594230769230769
"ITA","2016","1","null",0.455,0.545,0.495
"KGZ","2016","1","null",0.32,0.68,1.14484848484849
"LTU","2016","1","null",0.865,0.135,0.552222222222222
"LUX","2016","1","null",0.571,0.429,0.447647058823529
"LVA","2016","1","null",0.75,0.25,0.271666666666667
"MAR","2016","1","null",0.894,0.106,0.127606837606838
"MDA","2016","1","null",1,0,0
"MLT","2016","1","null",0.778,0.222,0.184090909090909
"NLD","2016","1","null",0.5,0.5,0.954545454545454
"NOR","2016","1","null",0.429,0.571,0.490476190476191
"POL","2016","1","null",0.63,0.37,0.333434343434343
"PRT","2016","1","null",0.75,0.25,0.797222222222222
"ROU","2016","1","null",0.885,0.115,0.0565217391304348
"SRB","2016","1","null",0.625,0.375,0.498571428571429
"SVN","2016","1","null",0.885,0.115,0.304347826086957
"SVK","2016","1","null",0.829,0.171,0.151503759398496
"TUR","2016","1","null",0.733,0.267,0.25
"USA","2016","1","null",0.692,0.308,0.340576923076923
"ARM","2017","1","null",0.731,0.269,0.470940170940171
"AUT","2017","1","null",0.455,0.545,1.14583333333333
"BEL","2017","1","null",0.771,0.229,0.653571428571429
"CHE","2017","1","null",0.808,0.192,0.652380952380952
"CZE","2017","1","null",0.827,0.173,0.902380952380952
"DNK","2017","1","null",0.857,0.143,0.0719298245614035
