"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"GEO",2017,2,"rolling",0.848,0.152,0.0155555555555556
"GRC",2017,2,"rolling",0.635,0.365,1.30333333333333
"HRV",2017,2,"rolling",0.731,0.269,2.37222222222222
"HUN",2017,2,"rolling",0.643,0.357,2.00526315789474
"IRL",2017,2,"rolling",0.827,0.173,0.426666666666667
"ISR",2017,2,"rolling",0.846,0.154,0.66952380952381
"ITA",2017,2,"rolling",0.522,0.478,1.00333333333333
"KGZ",2017,2,"rolling",0.417,0.583,0.165714285714286
"LTU",2017,2,"rolling",0.886,0.114,0.3
"LUX",2017,2,"rolling",0.75,0.25,0.59047619047619
"LVA",2017,2,"rolling",0.679,0.321,1.18921568627451
"MAR",2017,2,"rolling",0.731,0.269,0.250098039215686
"MDA",2017,2,"rolling",1,0,0
"MLT",2017,2,"rolling",0.714,0.286,0.585714285714286
"NLD",2017,2,"rolling",0.558,0.442,0.661538461538462
"NOR",2017,2,"rolling",0.429,0.571,1.5952380952381
"POL",2017,2,"rolling",0.481,0.519,1.44097402597403
"PRT",2017,2,"rolling",0.885,0.115,0.179710144927536
"ROU",2017,2,"rolling",1,0,0
"SRB",2017,2,"rolling",0.455,0.545,1.67
"SVN",2017,2,"rolling",0.846,0.154,1.73787878787879
"SVK",2017,2,"rolling",0.654,0.346,1.36481481481481
"TUR",2017,2,"rolling",0.451,0.549,1.44969696969697
"USA",2017,2,"rolling",0.538,0.462,1.09285714285714
"ARM",2015,3,"rolling",0.878,0.122,0.0659663865546219
"AUT",2015,3,"rolling",0.25,0.75,1.17142857142857
"BEL",2015,3,"rolling",0.83,0.17,2.18333333333333
"CHE",2015,3,"rolling",0.83,0.17,1.38577235772358
"CZE",2015,3,"rolling",0.792,0.208,1.475
"DNK",2015,3,"rolling",0.667,0.333,0.19719298245614
"EST",2015,3,"rolling",0.528,0.472,1.04551282051282
"ESP",2015,3,"rolling",0.621,0.379,2.12222222222222
"GEO",2015,3,"rolling",0.736,0.264,0.248809523809524
"GRC",2015,3,"rolling",0.5,0.5,2.375
"HRV",2015,3,"rolling",0.593,0.407,2.75
"HUN",2015,3,"rolling",0.75,0.25,0.916666666666667
"IRL",2015,3,"rolling",0.83,0.17,0.37375415282392
"ISR",2015,3,"rolling",0.811,0.189,0.625
"ITA",2015,3,"rolling",0.583,0.417,0.41
"KGZ",2015,3,"rolling",0.562,0.438,0.585263157894737
"LTU",2015,3,"rolling",0.868,0.132,0.284255319148936
"LUX",2015,3,"rolling",0.621,0.379,1.55
"LVA",2015,3,"rolling",0.724,0.276,2.65
"MAR",2015,3,"rolling",0.712,0.288,0.177857142857143
"MDA",2015,3,"rolling",0.943,0.0570000000000001,0.1
"MLT",2015,3,"rolling",0.957,0.043,0.8
"NLD",2015,3,"rolling",0.528,0.472,1.26515151515152
"NOR",2015,3,"rolling",0.483,0.517,2.78141025641026
"POL",2015,3,"rolling",0.532,0.468,0.493846153846154
"PRT",2015,3,"rolling",0.792,0.208,2.4546511627907
"ROU",2015,3,"rolling",0.854,0.146,0.382317073170732
